Genes,peak_time,Distance
SUB1,0.0,4.038989324442852
SNF7,0.0,3.601919488837092
LEA1,0.0,3.362986149985596
PAA1,0.0,3.676594366921928
YGR237C,0.0,4.128743846795441
RPN5,0.0,3.916799485922578
RIM11,0.0,4.193666653070008
OCA4,0.0,4.142384465300446
NHP10,0.0,3.1441253272308995
YCR041W,0.0,3.7233296369722204
UBC1,0.0,3.8813447357822737
VPS20,0.0,3.4112468898969603
YKU70,0.0,4.230765898398491
MAP2,0.0,4.140872103461831
IMP1,0.0,3.801027215220988
PHB2,0.0,4.240763356248058
RSM28,1.0,3.820692015700474
IVY1,1.0,4.022314002972006
UBP6,1.0,4.202523847173941
MLC1,1.0,4.074909258180292
PRP5,1.0,3.699288103720939
PNG1,1.0,4.12844157199118
YMR253C,1.0,3.2466503332236596
TMA22,1.0,4.184360966196965
USE1,1.0,3.933061833266947
VPS21,1.0,4.0825025370174
HEL1,1.0,3.9578898177512376
PRP3,1.0,3.960707651949572
XDJ1,1.0,4.136748459042922
TAX4,1.0,3.999688916081757
SSP120,1.0,4.205906642845822
YPL071C,1.0,3.861970430722436
IWR1,1.0,4.121464474454928
PLP2,1.0,4.0382105716590075
CWC27,1.0,3.8354258500253136
MFT1,1.0,3.8612093376189844
ALG6,2.0,4.029110588229842
RPT1,2.0,4.020439144458322
TDA2,2.0,3.7227659781729807
PFS2,2.0,4.016867179766278
VAM3,2.0,3.5138656909114996
OLE1,2.0,3.725011100555156
MCX1,2.0,3.853661077704798
DID4,2.0,3.974803722954909
YKL023W,2.0,4.1186719206155855
CUE5,2.0,3.5825997135078285
SPN1,2.0,3.638528241350538
YGL039W,2.0,3.9531386595088414
ALG13,3.0,4.132228890290869
SLU7,3.0,3.69309759505325
ATP17,3.0,4.116509527374348
CYK3,3.0,4.186027008918209
YGL041W-A,3.0,3.694566145825972
BEM1,3.0,2.911670702913238
PTR2,3.0,4.220288199952448
FYV6,3.0,3.790382901603197
RDS3,3.0,3.9552910477211403
TPM1,3.0,3.799136167827889
EAF7,3.0,4.012340485032388
GPI10,3.0,4.167654651021425
SPP2,3.0,4.162457019918618
VPS51,3.0,4.136897921707278
IST3,3.0,3.978572410915717
RPN12,3.0,3.610712611845967
YNL295W,3.0,3.750340890173797
ASH1,3.0,4.17515708625028
DJP1,3.0,3.767640037753811
MAK3,3.0,4.1948009053760575
YTA7,3.0,4.189007287184034
TIM11,3.0,4.126345313659684
AIM9,3.0,3.8505605872453152
MCM7,3.0,3.7458754331704798
YNL320W,3.0,4.024949477160473
VMA22,3.0,4.018201372507585
RAD2,3.0,4.053099957907492
CAB5,3.0,3.9001860994466235
COA1,4.0,4.238307342319099
END3,4.0,3.254294861347419
PRE7,4.0,3.973547012633417
PUP2,4.0,3.870104308486297
UBX7,4.0,3.837992444571665
DID2,4.0,3.7644375343133576
YLR211C,4.0,4.001046449132949
PST1,4.0,4.209329395976108
