"Genes"	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215
"ETS1-1"	73.98	30.38	26.89	28.15	21.54	22.53	27.07	34.2	22.78	24.79	27.24	26.51	24.79	24.14	25.63	18.02	18.86	15.25	12.92	14.47	18.38	22.17	22.61	24.75	23.53	22.72	23.7078113440197	26.01	31.05	27.71	24.37	25.34	23.28	21.7	25.07	27.009278086618	28.4847068974227	30.09	32.0141547449064	34.25	37.21	35.55	39.35	36.99
"ETS1-2"	73.98	30.38	26.89	28.15	21.54	22.53	27.07	34.2	22.78	24.79	27.24	26.51	24.79	24.14	25.63	18.02	18.86	15.25	12.92	14.47	18.38	22.17	22.61	24.75	23.53	22.72	23.7078113440197	26.01	31.05	27.71	24.37	25.34	23.28	21.7	25.07	27.009278086618	28.4847068974227	30.09	32.0141547449064	34.25	37.21	35.55	39.35	36.99
"ICR1"	3.72	5.23	2.75	2.8	2.96	4.36	3.81	3.79	3.54	4.45	3.89	3.73	3.14	4.12	5.12	6.35	6.17	5.06	5.05	4.7	4.63	3.71	3.85	5.01	4.06	4.09	4.34536706694559	4.8	5.37	4.92802773497689	4.36	4.18	3.95	4.14	4.08	3.78551355479191	3.33386788850706	3.1	3.24593065693431	3.54	3.95	4.09	4.28	4.05
"IRT1"	7.63	6.44	5.9	5.21	4.28	3.7	3.93	4.55	4.93	5.53	4.26	5.16	3.78	5.64	5.25	3.83	5.15	4.61	5.84	6.26	4.96	4.86	6.65	5.52	6.43	6.75	6.06617052023121	5.17	4.86	5.155	5.45	5.09	6.14	5.9	5.61	5.56405898770461	5.53814060496342	5.53	5.61445652173913	5.74	5.81	5.79	5.73	5.15
"ITS2-1"	49.03	46.26	43.88	62.76	78.72	108.66	68.64	122.99	10.25	23.73	39	30.39	52.67	74.18	77.23	7.53	17.65	15.71	11.98	17.68	34.53	41.03	14.41	24.16	15.29	22.73	30.3418092204561	37.74	44.45	32.2	19.95	32.6	24.39	22.89	18.64	19.3788888888889	20.7511111111111	21.49	20.225	18.96	22.51	27.5	56.95	22.59
"ITS2-2"	49.03	46.26	43.84	62.76	78.71	108.66	68.63	122.98	10.25	23.73	39	30.39	52.67	74.13	77.23	7.53	17.65	15.71	11.98	17.68	34.53	41.03	14.41	24.16	15.29	22.73	30.3418092204561	37.74	44.45	32.2	19.95	32.6	24.39	22.89	18.64	19.3788888888889	20.7511111111111	21.49	20.225	18.96	22.51	27.5	56.95	22.55
"LSR1"	9.53	9.88	5.7	16.2	14.37	18.06	13.02	27.31	4.5	4.55	6.5	5.62	7.72	9.7	13.21	4.77	4.25	4.56	5.28	4.24	5.56	10.4	3.42	5.45	5.32	4.47	6.475	8.48	8.08	6.84056338028169	5.88	6.94	4.78	3.88	3.89	4.66497169426254	6.08637473602016	6.85	6.01133921246924	4.94	4.61	5.54	15.76	6.92
"NME1"	10.48	7.82	6.33	11.75	28.25	20.51	14.9	19.62	3.58	3.21	8.52	6.63	11.21	11.86	14.15	5.58	5.08	4.6	5.5	10.31	10.87	10.19	7.89	7.82	6.22	9.96	11.7442696629214	12.52	6.3	5.92898228005196	5.7	5.29	6.61	4.27	2.15	3.0962962962963	4.8537037037037	5.8	5.15	4.5	5.32	3.63	6.45	4.6
"Q0020"	0.93	1.48	0.72	3.27	4.06	4.73	2.43	8.79	0.7	1.11	1.13	0.74	2.12	2.69	4.88	2.53	0.62	0.65	3.04	1.51	1.14	4.94	0.42	0.5	0.69	0.9	1.66088804220399	2.27	1.22	0.617578125	0.34	1.21	0.73	0.43	0.57	0.7906734006734	1.03478114478114	1.15	0.785	0.42	0.53	0.45	2.9	1.27
"Q0158"	1.81	1.71	1.22	4.85	4.86	5.12	3.35	8.11	1.14	1.66	1.8	1.87	3.32	4.1	5.44	2.39	1.52	1.29	2.88	1.93	1.3	5.05	0.96	0.84	1.37	1.36	2.1	2.84	2.13	1.38858013937282	0.97	1.91	1.42	1.1	0.77	0.972222222222222	1.34777777777778	1.55	1.48149700598802	1.33	1.05	1.54	5.32	2.11
"RDN18-1"	1380.18	1857.5	1115.26	3356	3655.12	4781.08	3455.11	8211.03	732.7	1224.74	1799.76	1382.56	2153.58	2548.11	2965.86	781.72	663.89	651.97	844.73	656.84	935.89	2029.85	426.27	722.44	598.04	744.48	922.706262434614	1118.5	1324.69	1009.415	694.14	1260.32	671.98	646.34	502.79	636.471851851852	884.738148148148	1018.42	816.694282766581	558.75	478.93	738.2	3342.84	1056.07
"RDN18-2"	1380.18	1857.5	1115.26	3356	3655.12	4780.71	3455.11	8211.03	732.7	1224.74	1799.76	1354.07	2153.58	2548.11	2965.86	781.71	663.89	651.97	844.73	656.84	947.05	2029.85	426.27	722.44	598.04	744.48	922.706262434614	1118.5	1324.69	1009.415	694.14	1260.32	671.98	646.34	502.79	639.264074074074	892.715925925926	1029.19	822.217116675806	558.75	478.94	738.2	3342.84	1056.07
"RDN25-1"	1220.33	1613.14	1093.18	2495.21	2720.21	3208.8	2429.72	5233.8	778.1	987.46	1315.18	1120.4	1856.41	2011.04	2472.02	1068.43	764.54	762.19	879.59	695.8	769.02	1977.88	532.7	722.68	717.35	825.83	932.075034778879	1035.06	1132	908.445	684.89	1361.35	870.79	818.13	635.14	770.704074074074	1022.46592592593	1158.03	953.631471363233	705.69	647.32	933.41	2625.33	1066.17
"RDN25-2"	1220.33	1613.14	1084.11	2495.21	2718.9	3200.6	2425.54	5225.85	782.08	993.97	1315.18	1120.4	1853.78	2003.92	2464.66	1068.43	764.28	762.19	879.59	695.8	769.02	1964.68	532.7	727.06	717.35	825.83	932.159840346157	1035.06	1131.43	908.155	684.88	1357.34	870.79	812.68	636.97	772.05962962963	1022.94037037037	1158.03	936.268103093087	681.14	638.8	887.25	2577.95	1064.75
"RDN37-1"	41.74	23.3	12.17	21.78	32.47	30.06	21.44	41.45	11.43	12.04	17.01	15.06	20.32	25.36	28.83	19.71	11.01	11.61	16.27	15.15	13.89	30.3	12.72	12.92	15.62	16.62	18.9832394366197	20.7	16.38	14.6920749031425	14	19.76	15.65	15.32	14.75	16.0074074074074	18.3425925925926	19.6	18.342046481601	16.22	14.46	18.89	39.81	21.72
"RDN37-2"	41.74	13.8	12.12	21.78	20.22	30.01	21.41	41.4	11.46	12.08	17.01	14.98	20.31	25.3	28.79	19.71	11.01	11.61	16.27	15.15	13.94	25.11	12.72	12.96	15.62	16.62	18.9832394366197	20.7	16.37	14.688339965584	14	19.73	15.65	15.27	14.77	16.0351851851852	18.3848148148148	19.65	17.8928700537372	15.94	15.7	18.43	39.46	21.71
"RDN5-1"	33.62	84.63	17.25	53.18	194.35	152.64	135.02	212.93	19.85	33.64	25.62	44.48	72	40.33	210.9	41.31	35.57	20.72	26.11	27.06	61.27	75.18	13.94	25	25.14	59.48	73.551772814704	79.4	32.48	41.88	51.28	44	31.73	38.4	43.76	42.5103703703704	40.1896296296296	38.94	42.685	46.43	36.7	43.37	50.77	54.76
"RDN5-2"	14.14	0	27.75	15.12	3.5	7.69	11.11	1.14	6.84	8.02	12.35	0	0.34	14.04	8.53	0	0.11	0	0	0.12	2.47	0	8.46	2.91	4.72	0	5.94285795670338	14.44	18.58	9.29	0	0	3.59	0	0.28	0.207407407407407	0.072592592592593	0	0.89799504950495	2.61	4.64	5.9	8.11	0
