tf,target,graph,sign
FKH1,CDC20,refs,act
FKH1,ACE2,refs,act
FKH1,CLB2,refs,act
FKH1,SWI5,refs,act
FKH2,SWI5,refs,act
FKH2,ACE2,refs,act
FKH2,CDC20,refs,act
FKH2,MBP1,grns,rep
FKH2,TOS4,grns,rep
FKH2,CLN3,grns,rep
FKH2,CLB6,grns,rep
FKH2,MBP1,grns,rep
FKH2,NDD1,grns,rep
HCM1,YHP1,grns,act
HCM1,MBP1,grns,act
HCM1,CLB4,grns,act
HCM1,SWI6,grns,act
HCM1,CLB3,grns,act
HCM1,NRM1,grns,act
HCM1,WHI5,grns,act
HCM1,TOS4,grns,rep
MBP1,CLN1,refs,act
MBP1,CLN1,grns,rep
MBP1,TOS4,refs,act
MBP1,YHP1,refs,act
MBP1,CLN2,refs,act
MBP1,PLM2,refs,act
MBP1,PLM2,grns,rep
MBP1,CLB4,grns,rep
NRM1,SWI6,refs,rep
NRM1,YOX1,grns,rep
NRM1,NDD1,grns,rep
NRM1,YHP1,grns,rep
NRM1,STB1,grns,rep
NRM1,CLB6,grns,rep
STB1,MBP1,refs,rep
STB1,CLN1,grns,act
STB1,NRM1,grns,act
STB1,PLM2,grns,act
STB1,CLB6,grns,act
SWI5,CLB5,grns,act
SWI6,TOS4,refs,act
YHP1,SWI6,refs,rep
YHP1,MBP1,refs,rep
YHP1,SWI4,refs,rep
YHP1,YOX1,grns,rep
YHP1,CDC20,grns,rep
YOX1,SWI6,refs,rep
YOX1,MBP1,refs,rep
