TF,GeneName,arrowhead
ACE2,ACE2,normal
ACE2,CLB6,tee
ACE2,CLN1,tee
ACE2,CLN3,normal
ACE2,NDD1,tee
ACE2,STB1,tee
ACE2,SWI4,tee
ACE2,YOX1,tee
STB1,ACE2,tee
STB1,CLB4,normal
STB1,CLB5,normal
STB1,CLB6,normal
STB1,CLN1,normal
STB1,FKH2,normal
STB1,HCM1,normal
STB1,MBP1,normal
STB1,NRM1,normal
STB1,PLM2,normal
STB1,TOS4,normal
STB1,YHP1,normal
YOX1,CDC20,tee
YOX1,CLB1,tee
YOX1,CLB2,tee
YOX1,CLB4,normal
YOX1,CLN3,tee
YOX1,FKH1,tee
YOX1,MBP1,normal
YOX1,MCM1,tee
YOX1,NDD1,normal
YOX1,STB1,tee
YOX1,SWI4,tee
YOX1,SWI5,tee
YOX1,SWI6,normal
YOX1,TOS4,tee
YOX1,YHP1,tee
YOX1,YOX1,normal
FKH1,CDC20,normal
FKH1,CLB2,normal
FKH1,FKH1,normal
FKH1,HCM1,normal
FKH1,PLM2,tee
FKH1,SWI5,tee
FKH1,SWI6,tee
FKH1,YHP1,tee
HCM1,ACE2,tee
HCM1,CDH1,tee
HCM1,CLB2,tee
HCM1,CLB3,normal
HCM1,CLB4,normal
HCM1,CLN3,tee
HCM1,FKH1,normal
HCM1,FKH2,normal
HCM1,HCM1,normal
HCM1,MBP1,normal
HCM1,NDD1,normal
HCM1,NRM1,normal
HCM1,PLM2,normal
HCM1,SWI5,normal
HCM1,SWI6,normal
HCM1,WHI5,normal
HCM1,YHP1,normal
SWI5,ACE2,normal
SWI5,CDC20,tee
SWI5,CLB1,tee
SWI5,CLB2,tee
SWI5,CLB5,normal
SWI5,CLN3,normal
SWI5,FKH2,tee
SWI5,STB1,normal
SWI5,SWI4,normal
SWI5,SWI5,normal
SWI5,WHI5,normal
SWI5,YHP1,normal
SWI6,CDH1,normal
SWI6,CLB5,normal
SWI6,CLB6,normal
SWI6,CLN1,normal
SWI6,CLN2,normal
SWI6,CLN3,tee
SWI6,HCM1,normal
SWI6,PLM2,normal
SWI6,SWI6,normal
SWI6,YOX1,normal
YHP1,ACE2,normal
YHP1,CDC20,tee
YHP1,CLB1,tee
YHP1,CLB2,tee
YHP1,CLB3,normal
YHP1,CLB5,normal
YHP1,CLN1,normal
YHP1,CLN3,tee
YHP1,MBP1,normal
YHP1,NDD1,normal
YHP1,PLM2,tee
YHP1,SWI4,tee
YHP1,SWI5,normal
YHP1,SWI6,normal
YHP1,TOS4,normal
YHP1,WHI5,normal
YHP1,YOX1,tee
FKH2,CDH1,normal
FKH2,CLN2,tee
FKH2,FKH2,normal
FKH2,MBP1,tee
FKH2,NRM1,tee
FKH2,PLM2,tee
FKH2,STB1,normal
FKH2,SWI5,tee
FKH2,SWI6,tee
MBP1,ACE2,normal
MBP1,CLB6,normal
MBP1,MCM1,normal
NRM1,CDH1,normal
NRM1,CLB3,tee
NRM1,CLB5,tee
NRM1,CLB6,tee
NRM1,CLN1,tee
NRM1,CLN2,tee
NRM1,FKH2,normal
NRM1,HCM1,tee
NRM1,NDD1,tee
NRM1,NRM1,normal
NRM1,PLM2,tee
NRM1,STB1,tee
NRM1,SWI4,tee
NRM1,TOS4,tee
NRM1,WHI5,tee
NRM1,YHP1,tee
NRM1,YOX1,tee
WHI5,CDH1,normal
WHI5,CLN2,tee
WHI5,MCM1,normal
WHI5,WHI5,normal
WHI5,YOX1,tee
