,reg,target,act,group
0,STB1,SWI4,False,both
1,SWI6,CLN2,True,both
2,SWI6,CLB5,True,both
3,HCM1,FKH1,True,both
4,NRM1,SWI4,False,both
5,SWI6,HCM1,True,both
6,HCM1,FKH2,True,both
7,SWI6,PLM2,True,both
8,HCM1,NDD1,True,both
9,SWI6,YOX1,True,both
10,SWI6,CLB6,True,both
11,MBP1,CLB6,True,both
12,SWI6,CLN1,True,both
13,SWI4,TOS4,True,refs
14,CDC20,ACE2,True,refs
15,CDH1,FKH1,False,refs
16,CDH1,MCM1,False,refs
17,CLN1,STB1,False,refs
18,CDC20,SWI5,True,refs
19,TOS4,FKH2,True,refs
20,YHP1,MBP1,False,refs
21,MBP1,YHP1,True,refs
22,SWI4,NRM1,True,refs
23,SWI4,CLB6,True,refs
24,CLN2,WHI5,False,refs
25,WHI5,SWI6,False,refs
26,MBP1,HCM1,True,refs
27,MBP1,YOX1,True,refs
28,FKH2,ACE2,True,refs
29,CDH1,SWI5,True,refs
30,CDH1,YOX1,False,refs
31,HCM1,MCM1,True,refs
32,NDD1,ACE2,True,refs
33,YOX1,MBP1,False,refs
34,MBP1,PLM2,True,refs
35,CLN3,STB1,False,refs
36,SWI4,CLN2,True,refs
37,FKH2,SWI5,True,refs
38,PLM2,MCM1,True,refs
39,SWI6,NRM1,True,refs
40,SWI4,CLN1,True,refs
41,CDH1,NRM1,False,refs
42,FKH1,ACE2,True,refs
43,FKH1,SWI5,True,refs
44,MBP1,CLB5,True,refs
45,STB1,SWI6,False,refs
46,SWI6,YHP1,True,refs
47,FKH2,CLB2,True,refs
48,SWI6,TOS4,True,refs
49,NRM1,SWI6,False,refs
50,NDD1,CLB2,True,refs
51,TOS4,FKH1,True,refs
52,CDH1,NDD1,False,refs
53,TOS4,MCM1,True,refs
54,SWI4,YHP1,True,refs
55,FKH2,CDC20,True,refs
56,NDD1,SWI5,True,refs
57,CLN2,STB1,False,refs
58,FKH1,CLB2,True,refs
59,ACE2,CLN3,True,refs
60,SWI4,CLB5,True,refs
61,PLM2,FKH1,True,refs
62,NDD1,CDC20,True,refs
63,SWI5,CLN3,True,refs
64,YHP1,SWI6,False,refs
65,SWI4,HCM1,True,refs
66,CDH1,FKH2,False,refs
67,SWI4,YOX1,True,refs
68,CLN2,CDH1,False,refs
69,MBP1,TOS4,True,refs
70,CLN3,WHI5,False,refs
71,FKH1,CDC20,True,refs
72,SWI4,PLM2,True,refs
73,NRM1,MBP1,False,refs
74,CDH1,YHP1,False,refs
75,YOX1,SWI6,False,refs
76,MCM1,SWI5,True,refs
77,CLN1,CDH1,False,refs
78,WHI5,SWI4,False,refs
79,MBP1,CLN2,True,refs
80,PLM2,FKH2,True,refs
81,MCM1,CLB2,True,refs
82,WHI5,MBP1,False,refs
83,MBP1,CLN1,True,refs
84,STB1,MBP1,False,refs
85,TOS4,NDD1,True,refs
86,CDH1,ACE2,True,refs
87,YOX1,SWI4,False,refs
88,CLN1,WHI5,False,refs
89,PLM2,NDD1,True,refs
90,MCM1,ACE2,True,refs
91,YHP1,SWI4,False,refs
92,MBP1,NRM1,True,refs
93,MCM1,CDC20,True,refs
94,FKH2,MBP1,False,grns
95,FKH2,NDD1,False,grns
96,ACE2,ACE2,True,grns
97,FKH2,CLB1,False,grns
98,MBP1,PLM2,False,grns
99,SWI5,SWI5,True,grns
100,FKH2,CLN3,False,grns
101,HCM1,NRM1,True,grns
102,SWI5,CLB1,False,grns
103,NRM1,CLB3,False,grns
104,SWI5,CDC20,False,grns
105,STB1,CLN1,True,grns
106,SWI5,FKH1,True,grns
107,FKH2,CLB6,False,grns
108,WHI5,TOS4,False,grns
109,WHI5,WHI5,True,grns
110,WHI5,YHP1,False,grns
111,YHP1,CLB1,False,grns
112,YHP1,YOX1,False,grns
113,YHP1,CDC20,False,grns
114,FKH1,YHP1,False,grns
115,NRM1,WHI5,False,grns
116,ACE2,SWI5,False,grns
117,ACE2,PLM2,False,grns
118,ACE2,NRM1,False,grns
119,NRM1,YHP1,False,grns
120,FKH1,MBP1,False,grns
121,HCM1,CLB4,True,grns
122,FKH2,FKH2,True,grns
123,HCM1,WHI5,True,grns
124,MBP1,CLB4,False,grns
125,HCM1,CLB3,True,grns
126,HCM1,SWI4,False,grns
127,HCM1,YHP1,True,grns
128,FKH1,FKH1,True,grns
129,WHI5,YOX1,False,grns
130,WHI5,CLB1,False,grns
131,WHI5,HCM1,False,grns
132,STB1,CLB6,True,grns
133,NRM1,NDD1,False,grns
134,HCM1,TOS4,False,grns
135,NRM1,HCM1,False,grns
136,STB1,PLM2,True,grns
137,NRM1,YOX1,False,grns
138,YOX1,CLB2,False,grns
139,YOX1,TOS4,False,grns
140,HCM1,CLB5,False,grns
141,MBP1,CLN1,False,grns
142,FKH2,TOS4,False,grns
143,STB1,NRM1,True,grns
144,ACE2,SWI4,False,grns
145,HCM1,MBP1,True,grns
146,HCM1,CLN2,False,grns
147,WHI5,NRM1,False,grns
148,HCM1,HCM1,True,grns
149,HCM1,SWI6,True,grns
150,NRM1,NRM1,True,grns
151,NRM1,CLB6,False,grns
152,YOX1,YOX1,True,grns
153,NRM1,CDH1,True,grns
154,NRM1,STB1,False,grns
155,SWI5,CLB5,True,grns
156,SWI6,SWI6,True,grns
