,reg,target,act,group
0,SWI6,PLM2,True,both
1,HCM1,NDD1,True,both
2,SWI6,CLB6,True,both
3,SWI6,HCM1,True,both
4,HCM1,FKH1,True,both
5,STB1,SWI4,False,both
6,SWI6,YOX1,True,both
7,MBP1,CLB6,True,both
8,HCM1,FKH2,True,both
9,SWI6,CLN1,True,both
10,SWI6,CLB5,True,both
11,NRM1,SWI4,False,both
12,SWI6,CLN2,True,both
13,YHP1,SWI6,False,refs
14,CDH1,SWI5,True,refs
15,MBP1,CLN1,True,refs
16,FKH2,SWI5,True,refs
17,NDD1,CLB2,True,refs
18,WHI5,SWI4,False,refs
19,PLM2,FKH1,True,refs
20,NDD1,SWI5,True,refs
21,CDC20,SWI5,True,refs
22,FKH2,ACE2,True,refs
23,CDH1,YOX1,False,refs
24,FKH1,CLB2,True,refs
25,TOS4,FKH2,True,refs
26,SWI4,HCM1,True,refs
27,MBP1,CLN2,True,refs
28,MCM1,CLB2,True,refs
29,CLN2,STB1,False,refs
30,MBP1,HCM1,True,refs
31,SWI4,CLB6,True,refs
32,YOX1,SWI6,False,refs
33,FKH1,ACE2,True,refs
34,CDH1,MCM1,False,refs
35,CLN1,STB1,False,refs
36,FKH2,CDC20,True,refs
37,WHI5,SWI6,False,refs
38,SWI4,YHP1,True,refs
39,CDH1,FKH2,False,refs
40,MBP1,YHP1,True,refs
41,SWI4,CLN2,True,refs
42,SWI6,YHP1,True,refs
43,STB1,SWI6,False,refs
44,SWI6,NRM1,True,refs
45,SWI4,NRM1,True,refs
46,CDH1,NDD1,False,refs
47,ACE2,CLN3,True,refs
48,FKH1,SWI5,True,refs
49,NRM1,MBP1,False,refs
50,TOS4,NDD1,True,refs
51,MBP1,NRM1,True,refs
52,CDH1,ACE2,True,refs
53,CLN1,WHI5,False,refs
54,MCM1,SWI5,True,refs
55,SWI4,CLB5,True,refs
56,SWI5,CLN3,True,refs
57,FKH1,CDC20,True,refs
58,MCM1,ACE2,True,refs
59,MBP1,CLB5,True,refs
60,NDD1,ACE2,True,refs
61,SWI4,PLM2,True,refs
62,CLN1,CDH1,False,refs
63,CDH1,YHP1,False,refs
64,YOX1,SWI4,False,refs
65,CDH1,FKH1,False,refs
66,SWI6,TOS4,True,refs
67,SWI4,TOS4,True,refs
68,MCM1,CDC20,True,refs
69,SWI4,CLN1,True,refs
70,TOS4,FKH1,True,refs
71,YHP1,MBP1,False,refs
72,MBP1,TOS4,True,refs
73,YOX1,MBP1,False,refs
74,HCM1,MCM1,True,refs
75,CLN2,WHI5,False,refs
76,PLM2,MCM1,True,refs
77,NRM1,SWI6,False,refs
78,TOS4,MCM1,True,refs
79,CLN2,CDH1,False,refs
80,WHI5,MBP1,False,refs
81,CLN3,WHI5,False,refs
82,YHP1,SWI4,False,refs
83,NDD1,CDC20,True,refs
84,CLN3,STB1,False,refs
85,SWI4,YOX1,True,refs
86,PLM2,FKH2,True,refs
87,STB1,MBP1,False,refs
88,PLM2,NDD1,True,refs
89,MBP1,YOX1,True,refs
90,CDC20,ACE2,True,refs
91,CDH1,NRM1,False,refs
92,FKH2,CLB2,True,refs
93,MBP1,PLM2,True,refs
94,ACE2,SWI5,False,grns
95,STB1,CLB6,True,grns
96,NRM1,NRM1,True,grns
97,HCM1,TOS4,False,grns
98,FKH1,YHP1,False,grns
99,NRM1,NDD1,False,grns
100,FKH2,CLN3,False,grns
101,WHI5,NRM1,False,grns
102,SWI5,CLB5,True,grns
103,NRM1,WHI5,False,grns
104,YHP1,YOX1,False,grns
105,WHI5,HCM1,False,grns
106,HCM1,CLB3,True,grns
107,HCM1,WHI5,True,grns
108,HCM1,CLN2,False,grns
109,MBP1,CLB4,False,grns
110,FKH1,FKH1,True,grns
111,YOX1,CLB2,False,grns
112,STB1,CLN1,True,grns
113,YOX1,TOS4,False,grns
114,HCM1,SWI6,True,grns
115,ACE2,NRM1,False,grns
116,ACE2,SWI4,False,grns
117,NRM1,STB1,False,grns
118,HCM1,SWI4,False,grns
119,SWI5,SWI5,True,grns
120,NRM1,CLB3,False,grns
121,FKH2,NDD1,False,grns
122,HCM1,YHP1,True,grns
123,SWI5,FKH1,True,grns
124,NRM1,YOX1,False,grns
125,FKH2,FKH2,True,grns
126,STB1,PLM2,True,grns
127,YOX1,YOX1,True,grns
128,FKH1,MBP1,False,grns
129,HCM1,HCM1,True,grns
130,NRM1,YHP1,False,grns
131,STB1,NRM1,True,grns
132,FKH2,MBP1,False,grns
133,ACE2,ACE2,True,grns
134,SWI5,CDC20,False,grns
135,HCM1,NRM1,True,grns
136,YHP1,CDC20,False,grns
137,NRM1,HCM1,False,grns
138,FKH2,CLB6,False,grns
139,WHI5,TOS4,False,grns
140,NRM1,CDH1,True,grns
141,HCM1,CLB5,False,grns
142,WHI5,CLB1,False,grns
143,MBP1,PLM2,False,grns
144,SWI6,SWI6,True,grns
145,WHI5,WHI5,True,grns
146,WHI5,YOX1,False,grns
147,HCM1,CLB4,True,grns
148,MBP1,CLN1,False,grns
149,FKH2,CLB1,False,grns
150,SWI5,CLB1,False,grns
151,ACE2,PLM2,False,grns
152,HCM1,MBP1,True,grns
153,WHI5,YHP1,False,grns
154,YHP1,CLB1,False,grns
155,FKH2,TOS4,False,grns
156,NRM1,CLB6,False,grns
