TF,strain,date,restriction,mechanism,time,GeneName,green_median,red_median,log2_ratio,log2_cleaned_ratio,log2_noise_model,log2_cleaned_ratio_zth2d,log2_selected_timecourses,log2_shrunken_timecourses
ACE2,SMY64,12/16/2015,P,GEV,0.0,ACE2,1129.1748,233.517,0.0,0.0,0.129406918687,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,ACE2,1441.1875,6587.4615,4.48864425842,4.37924781985,0.121796379014,4.37924781985,4.37924781985,4.379231472732293
ACE2,SMY64,12/16/2015,P,GEV,10.0,ACE2,1653.753,31389.71,6.54293676027,6.48516165704,0.121142611796,6.48516165704,6.48516165703,6.485150841773192
ACE2,SMY64,12/16/2015,P,GEV,15.0,ACE2,1643.16,37598.4,6.81310039476,6.83344234668,0.122298035993,6.83344234668,6.83344234667,6.8334396627364695
ACE2,SMY64,12/16/2015,P,GEV,20.0,ACE2,1359.575,32865.185,6.89218311724,6.89289283756,0.122514074739,6.89289283756,6.89289283756,6.892891987149299
ACE2,SMY64,12/16/2015,P,GEV,30.0,ACE2,1371.525,32516.23,6.86459108297,6.84798912053,0.130805563605,6.84798912053,6.84798912052,6.847988896635362
ACE2,SMY64,12/16/2015,P,GEV,45.0,ACE2,1453.442,31464.055,6.73267261839,6.82166777414,0.134249971671,6.82166777414,6.82166777414,6.821667697457645
ACE2,SMY64,12/16/2015,P,GEV,90.0,ACE2,1474.993,29502.195,6.61950443179,6.63864538578,0.140513088407,6.63864538578,6.63864538578,6.638645350008285
ACE2,SMY64,12/16/2015,P,GEV,0.0,CDC20,499.232,494.3958,0.0,0.0,0.113114244853,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CDC20,549.993,527.27285,-0.0435131603783,-0.00348297164555,0.107431805168,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CDC20,549.33945,506.447,-0.0996430199327,-0.0661095344056,0.106690052082,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,CDC20,540.51075,511.1902,-0.0657639508574,-0.0330778050005,0.108000205686,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,CDC20,506.78565,483.6203,-0.050705839517,-0.0177413283793,0.108244784308,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,CDC20,522.9809,478.2975,-0.11236562379,-0.0974066678378,0.117547140717,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,CDC20,560.9116,444.48225,-0.31727019485,-0.247981753041,0.121368404926,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,CDC20,586.9436,375.66625,-0.619026966683,-0.473704494905,0.128262086504,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,CDH1,1013.60225,929.76295,0.0,0.0,0.0788994464146,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CDH1,1015.81095,896.29565,-0.0569653019773,-0.079194130584,0.0778898879281,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CDH1,1116.5365,1059.374,0.0501389898372,0.0347663140946,0.0768635745535,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,CDH1,1054.38495,906.41645,-0.0903426658349,-0.0695751751577,0.078672017313,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,CDH1,936.0289,815.85485,-0.0740446816527,-0.0489954447551,0.0790074376855,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,CDH1,1014.41515,874.67505,-0.0894712088916,-0.0311881510163,0.0913376820954,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,CDH1,1050.9175,932.67445,-0.0484353335783,-0.00671743482284,0.0962056733986,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,CDH1,1096.564,963.7866,-0.0627738394865,0.0249915999989,0.104768338319,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,CLB2,1096.657,1046.824,0.0,0.0,0.137887672,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLB2,1218.1705,1179.941,0.021171383995,0.0292005710501,0.129319014504,0.0292005710501,0.02920057105,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLB2,1199.889,1043.767,-0.133669595601,-0.0931351856101,0.128703465237,-0.0931351856101,-0.0931351856101,-0.0003449055756338649
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLB2,1220.3855,995.01035,-0.227215944072,-0.103536787025,0.129791599031,-0.103536787025,-0.103536787025,-0.0030980477091086
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLB2,1095.1035,860.0458,-0.281335254709,-0.119724293942,0.129995184836,-0.119724293942,-0.119724293942,-0.0335395479146481
ACE2,SMY64,12/16/2015,P,GEV,30.0,CLB2,1077.255,728.37495,-0.497423183742,-0.209084539436,0.137837386225,-0.209084539436,-0.209084539437,-0.1566103375417978
ACE2,SMY64,12/16/2015,P,GEV,45.0,CLB2,1195.5155,606.39295,-0.911477849961,-0.460134123041,0.141110256413,-0.460134123041,-0.460134123041,-0.4593256797087218
ACE2,SMY64,12/16/2015,P,GEV,90.0,CLB2,1190.681,366.27985,-1.63405744579,-1.1578038357,0.1470815338,-1.1578038357,-1.1578038357,-1.1578038294612831
ACE2,SMY64,12/16/2015,P,GEV,0.0,CLB3,2064.911,1719.8135,0.0,0.0,0.069999547616,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLB3,2250.3355,1814.212,-0.0482384312865,-0.0158127283666,0.0704451062393,-0.0158127283666,-0.0158127283666,-0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLB3,2230.756,1764.5475,-0.0747668077232,-0.0153678709608,0.0693086390341,-0.0153678709608,-0.0153678709607,-5.691151357293675e-05
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLB3,2143.2405,1664.7935,-0.103245667124,-0.0912673750457,0.0713089381474,-0.0912673750457,-0.0912673750456,-0.0242507731898212
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLB3,1997.2005,1476.7005,-0.172603501465,-0.131969259925,0.0716788222647,-0.131969259925,-0.131969259925,-0.1016271536613565
