gene,type,t_thresh,amp_thresh
CLN1,target,15,0.5
CLN2,target,15,0.5
CLN3,target,15,0.5
CLB1,target,15,0.5
CLB2,target,15,0.5
CLB3,target,15,0.5
CLB4,target,15,0.5
CLB5,target,15,0.5
CLB6,target,15,0.5
YOX1,target tf,15,0.5
YHP1,target tf,15,0.5
NRM1,target tf,15,0.5
HCM1,target tf,15,0.5
PLM2,target tf,15,0.5
TOS4,target tf,15,0.5
SWI4,target tf,15,0.5
SWI5,target tf,15,0.5
SWI6,target tf,15,0.5
ACE2,target tf,15,0.5
NDD1,target tf,15,0.5
FKH1,target tf,15,0.5
FKH2,target tf,15,0.5
MCM1,target tf,15,0.5
WHI5,target tf,15,0.5
STB1,target tf,15,0.5
MBP1,target tf,15,0.5
CDH1,target,15,0.5
CDC20,target,15,0.5
