reg,target,type
ACE2,ACE2,act
ACE2,CLB6,rep
ACE2,CLN1,rep
ACE2,CLN3,act
ACE2,NDD1,rep
ACE2,STB1,rep
ACE2,SWI4,rep
ACE2,YOX1,rep
FKH1,CDC20,act
FKH1,CLB2,act
FKH1,CLN2,act
FKH1,FKH1,act
FKH1,HCM1,act
FKH1,PLM2,rep
FKH1,SWI5,rep
FKH1,SWI6,rep
FKH1,YHP1,rep
FKH2,CDH1,act
FKH2,CLB1,rep
FKH2,CLN2,rep
FKH2,FKH2,act
FKH2,HCM1,rep
FKH2,MBP1,rep
FKH2,NRM1,rep
FKH2,PLM2,rep
FKH2,STB1,act
FKH2,SWI5,rep
FKH2,SWI6,rep
HCM1,ACE2,rep
HCM1,CDH1,rep
HCM1,CLB2,rep
HCM1,CLB3,act
HCM1,CLB4,act
HCM1,CLN3,rep
HCM1,FKH1,act
HCM1,FKH2,act
HCM1,HCM1,act
HCM1,MBP1,act
HCM1,NDD1,act
HCM1,NRM1,act
HCM1,PLM2,act
HCM1,SWI5,act
HCM1,SWI6,act
HCM1,WHI5,act
HCM1,YHP1,act
MBP1,ACE2,act
MBP1,CLB6,act
MBP1,MCM1,act
NRM1,CDH1,act
NRM1,CLB3,rep
NRM1,CLB5,rep
NRM1,CLB6,rep
NRM1,CLN1,rep
NRM1,CLN2,rep
NRM1,FKH2,act
NRM1,HCM1,rep
NRM1,NDD1,rep
NRM1,NRM1,act
NRM1,PLM2,rep
NRM1,STB1,rep
NRM1,SWI4,rep
NRM1,TOS4,rep
NRM1,WHI5,rep
NRM1,YHP1,rep
NRM1,YOX1,rep
STB1,ACE2,rep
STB1,CLB4,act
STB1,CLB5,act
STB1,CLB6,act
STB1,CLN1,act
STB1,FKH2,act
STB1,HCM1,act
STB1,MBP1,act
STB1,NRM1,act
STB1,PLM2,act
STB1,TOS4,act
STB1,YHP1,act
SWI5,ACE2,act
SWI5,CDC20,rep
SWI5,CLB1,rep
SWI5,CLB2,rep
SWI5,CLB5,act
SWI5,CLN3,act
SWI5,FKH2,rep
SWI5,STB1,act
SWI5,SWI4,act
SWI5,SWI5,act
SWI5,WHI5,act
SWI5,YHP1,act
SWI6,CDH1,act
SWI6,CLB5,act
SWI6,CLB6,act
SWI6,CLN1,act
SWI6,CLN2,act
SWI6,CLN3,rep
SWI6,HCM1,act
SWI6,PLM2,act
SWI6,SWI6,act
SWI6,YOX1,act
WHI5,CDH1,act
WHI5,CLN2,rep
WHI5,MCM1,act
WHI5,WHI5,act
WHI5,YOX1,rep
YHP1,ACE2,act
YHP1,CDC20,rep
YHP1,CLB1,rep
YHP1,CLB2,rep
YHP1,CLB3,act
YHP1,CLB5,act
YHP1,CLN1,act
YHP1,CLN3,rep
YHP1,MBP1,act
YHP1,NDD1,act
YHP1,PLM2,rep
YHP1,SWI4,rep
YHP1,SWI5,act
YHP1,SWI6,act
YHP1,TOS4,act
YHP1,WHI5,act
YHP1,YOX1,rep
YOX1,CDC20,rep
YOX1,CLB1,rep
YOX1,CLB2,rep
YOX1,CLB4,act
YOX1,CLN3,rep
YOX1,FKH1,rep
YOX1,MBP1,act
YOX1,MCM1,rep
YOX1,NDD1,act
YOX1,STB1,rep
YOX1,SWI4,rep
YOX1,SWI5,rep
YOX1,SWI6,act
YOX1,TOS4,rep
YOX1,YHP1,rep
YOX1,YOX1,act
