reg,target,type
ACE2,ACE2,act
FKH1,CLN2,act
FKH1,FKH1,act
FKH2,FKH2,act
FKH2,MBP1,rep
FKH2,PLM2,rep
FKH2,STB1,act
HCM1,CDH1,rep
HCM1,CLB2,rep
HCM1,CLB3,act
HCM1,CLB4,act
HCM1,FKH1,act
HCM1,FKH2,act
HCM1,HCM1,act
HCM1,MBP1,act
HCM1,NDD1,act
HCM1,NRM1,act
HCM1,SWI6,act
HCM1,WHI5,act
HCM1,YHP1,act
MBP1,CLB6,act
NRM1,CDH1,act
NRM1,CLB5,rep
NRM1,CLB6,rep
NRM1,CLN2,rep
NRM1,HCM1,rep
NRM1,NDD1,rep
NRM1,NRM1,act
NRM1,PLM2,rep
NRM1,STB1,rep
NRM1,TOS4,rep
NRM1,YHP1,rep
NRM1,YOX1,rep
STB1,NRM1,act
STB1,PLM2,act
SWI5,SWI5,act
SWI6,CLB5,act
SWI6,CLB6,act
SWI6,CLN1,act
SWI6,CLN2,act
SWI6,SWI6,act
SWI6,YOX1,act
WHI5,WHI5,act
WHI5,YOX1,rep
YHP1,ACE2,act
YHP1,CDC20,rep
YHP1,CLB1,rep
YHP1,CLB2,rep
YHP1,CLN3,rep
YHP1,NDD1,act
YHP1,PLM2,rep
YHP1,SWI4,rep
YHP1,YOX1,rep
YOX1,CDC20,rep
YOX1,CLB2,rep
YOX1,CLN3,rep
YOX1,NDD1,act
YOX1,SWI4,rep
YOX1,YOX1,act
