reg,target,type,time
ACE2,CLB2,rep,13.76819559836657
FKH1,ACE2,act,14.784551459571171
FKH1,CLB6,rep,8.19409021756576
FKH1,NRM1,rep,14.971268708091518
FKH1,PLM2,act,14.83254558862813
FKH1,SWI4,act,13.785831478652845
FKH2,ACE2,act,11.38831092651191
FKH2,CDC20,act,14.672320235912395
FKH2,CLB6,act,14.960250779247952
FKH2,MBP1,act,14.981200226277027
FKH2,PLM2,rep,14.973281530526211
FKH2,YOX1,rep,8.188477366033002
HCM1,CLB3,act,12.303463965004477
HCM1,CLB4,act,12.575596659701276
HCM1,FKH1,act,14.689410480132302
HCM1,FKH2,act,14.64354216558512
HCM1,NDD1,act,13.610095146473503
HCM1,NRM1,act,12.812110477030341
HCM1,PLM2,act,11.662853773560277
HCM1,SWI6,act,14.886666983017115
HCM1,WHI5,act,14.397572913133706
HCM1,YHP1,act,14.246048268057253
HCM1,YOX1,rep,14.709751210486838
MBP1,CDC20,rep,4.913486994598398
MBP1,CLB5,act,5.090457837924724
MBP1,NDD1,rep,4.911591297133838
MBP1,YOX1,act,3.88013893125814
NRM1,CLB1,rep,12.482408918416208
NRM1,CLB5,rep,12.414883323841897
NRM1,CLB6,rep,13.060456339399265
NRM1,HCM1,rep,9.624497050432266
NRM1,PLM2,rep,12.336390498475307
NRM1,STB1,rep,8.480629798175496
NRM1,TOS4,rep,13.016667147515875
NRM1,YHP1,rep,11.061541870442081
STB1,CLB5,act,14.51862041211811
STB1,CLB6,act,10.047913946376271
STB1,CLN1,act,13.38953058062076
STB1,HCM1,act,13.306190177705489
STB1,NRM1,act,14.634772014531874
STB1,YHP1,act,5.34834015030839
SWI6,CLB5,act,14.140851890441844
SWI6,CLB6,act,12.847920100341925
SWI6,CLN1,act,13.688936442020605
SWI6,CLN2,act,12.288940816289761
SWI6,YHP1,act,10.048613676959018
SWI6,YOX1,act,10.223389280398765
WHI5,CLB1,rep,11.49847883689544
WHI5,CLB5,rep,14.758848142992106
WHI5,CLN1,rep,14.589919583556409
WHI5,YHP1,rep,11.55910456835358
WHI5,YOX1,rep,13.331598003506562
YHP1,YOX1,rep,9.680136287495072
YOX1,CDC20,rep,11.84489921587687
YOX1,CLB2,rep,13.645079771004381
YOX1,CLN3,rep,11.708480865306026
YOX1,SWI4,rep,14.916629089265816
YOX1,YHP1,rep,14.684535570167748
