,reg,target,act,type
0,"[SWI4,SWI6]","[CLB5,CLB6]",,True
1,"[SWI4,SWI6]","[CLN1,CLN2]",,True
2,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",,True
3,"[MBP1,SWI6]","[CLB5,CLB6]",,True
4,"[MBP1,SWI6]","[NDD1,FKH1,FKH2,MCM1]",,False
5,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",,True
6,"[MBP1,SWI6]","[CLN1,CLN2]",,True
7,"[WHI5,STB1]","[CLB5,CLB6]",,False
8,"[WHI5,STB1]","[CLN1,CLN2]",,False
9,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,False
10,"[WHI5,STB1]","[CLB5,CLB6]",,True
11,"[WHI5,STB1]","[CLN1,CLN2]",,True
12,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",,True
13,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,True
14,"[YOX1,NRM1,YHP1]",[CLB2],,False
15,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",,False
16,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,False
17,"[YOX1,NRM1,YHP1]","[CLB5,CLB6]",,False
18,"[YOX1,NRM1,YHP1]","[HCM1,PLM2,TOS4]",,False
19,"[YOX1,NRM1,YHP1]","[WHI5,STB1]",,False
20,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",,True
21,"[HCM1,PLM2,TOS4]","[YOX1,NRM1,YHP1]",,True
22,"[HCM1,PLM2,TOS4]","[HCM1,PLM2,TOS4]",,True
23,"[HCM1,PLM2,TOS4]","[SWI4,SWI6]",,True
24,"[HCM1,PLM2,TOS4]","[MBP1,SWI6]",,True
25,"[HCM1,PLM2,TOS4]","[WHI5,STB1]",,True
26,"[HCM1,PLM2,TOS4]","[YOX1,NRM1,YHP1]",,False
27,"[NDD1,FKH1,FKH2,MCM1]","[SWI5,ACE2]",,False
28,"[NDD1,FKH1,FKH2,MCM1]","[CLB5,CLB6]",,False
29,"[NDD1,FKH1,FKH2,MCM1]","[YOX1,NRM1,YHP1]",,False
30,"[NDD1,FKH1,FKH2,MCM1]","[HCM1,PLM2,TOS4]",,False
31,"[NDD1,FKH1,FKH2,MCM1]","[WHI5,STB1]",,True
32,"[NDD1,FKH1,FKH2,MCM1]","[SWI4,SWI6]",,True
33,"[NDD1,FKH1,FKH2,MCM1]","[MBP1,SWI6]",,True
34,"[SWI5,ACE2]",[CLB2],,False
