,group1,group2,tf,target,sign
0,"[SWI4,SWI6]","[CLB5,CLB6]",<structs.GeneNode object at 0x1619170e0>,CLB5,True
1,"[SWI4,SWI6]","[CLB5,CLB6]",<structs.GeneNode object at 0x1619170e0>,CLB6,True
2,"[SWI4,SWI6]","[CLN1,CLN2]",<structs.GeneNode object at 0x1619170e0>,CLN1,True
3,"[SWI4,SWI6]","[CLN1,CLN2]",<structs.GeneNode object at 0x1619170e0>,CLN2,True
4,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x1619170e0>,HCM1,True
5,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x1619170e0>,PLM2,True
6,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x1619170e0>,YOX1,True
7,"[MBP1,SWI6]","[CLB5,CLB6]",<structs.GeneNode object at 0x16191e150>,CLB6,True
8,"[MBP1,SWI6]","[CLN1,CLN2]",<structs.GeneNode object at 0x16191e150>,CLN1,False
9,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x16191e150>,PLM2,False
10,"[MBP1,SWI6]","[CLB5,CLB6]",<structs.GeneNode object at 0x1619170e0>,CLB5,True
11,"[MBP1,SWI6]","[CLB5,CLB6]",<structs.GeneNode object at 0x1619170e0>,CLB6,True
12,"[MBP1,SWI6]","[CLN1,CLN2]",<structs.GeneNode object at 0x1619170e0>,CLN1,True
13,"[MBP1,SWI6]","[CLN1,CLN2]",<structs.GeneNode object at 0x1619170e0>,CLN2,True
14,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x1619170e0>,HCM1,True
15,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x1619170e0>,PLM2,True
16,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x1619170e0>,YOX1,True
17,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x161917380>,HCM1,False
18,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x161917380>,NRM1,False
19,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x161917380>,TOS4,False
20,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x161917380>,YHP1,False
21,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x161917380>,YOX1,False
22,"[WHI5,STB1]","[CLB5,CLB6]",<structs.GeneNode object at 0x1619272f0>,CLB6,True
23,"[WHI5,STB1]","[CLN1,CLN2]",<structs.GeneNode object at 0x1619272f0>,CLN1,True
24,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x1619272f0>,NRM1,True
25,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x1619272f0>,PLM2,True
26,"[WHI5,STB1]","[SWI4,SWI6]",<structs.GeneNode object at 0x1619272f0>,SWI4,False
27,"[YOX1,NRM1,YHP1]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x161915d00>,TOS4,False
28,"[YOX1,NRM1,YHP1]","[CLB5,CLB6]",<structs.GeneNode object at 0x161926510>,CLB6,False
29,"[YOX1,NRM1,YHP1]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x161926510>,HCM1,False
30,"[YOX1,NRM1,YHP1]","[NDD1,FKH1,FKH2]",<structs.GeneNode object at 0x161926510>,NDD1,False
31,"[YOX1,NRM1,YHP1]","[WHI5,STB1]",<structs.GeneNode object at 0x161926510>,STB1,False
32,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",<structs.GeneNode object at 0x161926510>,SWI4,False
33,"[YOX1,NRM1,YHP1]","[WHI5,STB1]",<structs.GeneNode object at 0x161926510>,WHI5,False
34,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x161926510>,YHP1,False
35,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x161926510>,YOX1,False
36,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x161916300>,YOX1,False
37,"[HCM1,PLM2,TOS4]","[CLB5,CLB6]",<structs.GeneNode object at 0x16191f950>,CLB5,False
38,"[HCM1,PLM2,TOS4]","[CLN1,CLN2]",<structs.GeneNode object at 0x16191f950>,CLN2,False
39,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2]",<structs.GeneNode object at 0x16191f950>,FKH1,True
40,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2]",<structs.GeneNode object at 0x16191f950>,FKH2,True
41,"[HCM1,PLM2,TOS4]","[MBP1,SWI6]",<structs.GeneNode object at 0x16191f950>,MBP1,True
42,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2]",<structs.GeneNode object at 0x16191f950>,NDD1,True
43,"[HCM1,PLM2,TOS4]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x16191f950>,NRM1,True
44,"[HCM1,PLM2,TOS4]","[SWI4,SWI6]",<structs.GeneNode object at 0x16191f950>,SWI4,False
45,"[HCM1,PLM2,TOS4]","[SWI4,SWI6]",<structs.GeneNode object at 0x16191f950>,SWI6,True
46,"[HCM1,PLM2,TOS4]","[MBP1,SWI6]",<structs.GeneNode object at 0x16191f950>,SWI6,True
47,"[HCM1,PLM2,TOS4]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x16191f950>,TOS4,False
48,"[HCM1,PLM2,TOS4]","[WHI5,STB1]",<structs.GeneNode object at 0x16191f950>,WHI5,True
49,"[HCM1,PLM2,TOS4]","[YOX1,NRM1,YHP1]",<structs.GeneNode object at 0x16191f950>,YHP1,True
50,"[NDD1,FKH1,FKH2]","[MBP1,SWI6]",<structs.GeneNode object at 0x1619243e0>,MBP1,False
51,"[NDD1,FKH1,FKH2]","[CLB5,CLB6]",<structs.GeneNode object at 0x161924470>,CLB6,False
52,"[NDD1,FKH1,FKH2]","[MBP1,SWI6]",<structs.GeneNode object at 0x161924470>,MBP1,False
53,"[NDD1,FKH1,FKH2]","[NDD1,FKH1,FKH2]",<structs.GeneNode object at 0x161924470>,NDD1,False
54,"[NDD1,FKH1,FKH2]","[HCM1,PLM2,TOS4]",<structs.GeneNode object at 0x161924470>,TOS4,False
55,"[SWI5,ACE2]","[CLB5,CLB6]",<structs.GeneNode object at 0x161925e50>,CLB5,True
