,start,end,path,graph,sign,time
0,ACE2,ACE2,"['ACE2', 'ACE2']",grn,act,3.1031079297616397
1,ACE2,CDC20,"['ACE2', 'SWI5', 'CDC20']",grn,act,16.456993476699967
2,ACE2,CDH1,"['ACE2', 'NRM1', 'CDH1']",grn,rep,10.413633639100663
3,ACE2,CLB1,"['ACE2', 'SWI5', 'CLB1']",grn,act,15.426362129447147
4,ACE2,CLB3,"['ACE2', 'NRM1', 'CLB3']",grn,act,15.054437362565686
5,ACE2,CLB3,"['ACE2', 'NRM1', 'HCM1', 'CLB3']",grn,act,21.751734448708234
6,ACE2,CLB4,"['ACE2', 'NRM1', 'HCM1', 'CLB4']",grn,act,22.403503216378752
7,ACE2,CLB5,"['ACE2', 'NRM1', 'HCM1', 'CLB5']",grn,rep,9.928962220266603
8,ACE2,CLB5,"['ACE2', 'SWI5', 'CLB5']",grn,rep,16.929570373828604
9,ACE2,CLB6,"['ACE2', 'NRM1', 'CLB6']",grn,act,12.178105659187471
10,ACE2,CLN2,"['ACE2', 'NRM1', 'HCM1', 'CLN2']",grn,rep,9.833656292655462
11,ACE2,FKH1,"['ACE2', 'NRM1', 'HCM1', 'FKH1']",grn,act,24.196829827230566
12,ACE2,FKH1,"['ACE2', 'SWI5', 'FKH1']",grn,rep,5.825762721414608
13,ACE2,FKH2,"['ACE2', 'NRM1', 'HCM1', 'FKH2']",grn,act,24.133802504604873
14,ACE2,HCM1,"['ACE2', 'NRM1', 'HCM1']",grn,act,9.743996222421755
15,ACE2,NDD1,"['ACE2', 'NRM1', 'NDD1']",grn,act,3.823776016298346
16,ACE2,NRM1,"['ACE2', 'NRM1']",grn,rep,0.04130119308286168
17,ACE2,PLM2,"['ACE2', 'PLM2']",grn,rep,0.0018587687283225323
18,ACE2,SWI5,"['ACE2', 'SWI5']",grn,rep,0.20880314274449774
19,FKH1,CDC20,"['FKH1', 'YHP1', 'CDC20']",grn,act,21.441653669522903
20,FKH1,CLB1,"['FKH1', 'YHP1', 'CLB1']",grn,act,31.044874057777733
21,FKH1,CLB2,"['FKH1', 'YHP1', 'YOX1', 'CLB2']",grn,rep,26.788652726931204
22,FKH1,CLB4,"['FKH1', 'MBP1', 'CLB4']",grn,act,8.519098839012319
23,FKH1,CLB6,"['FKH1', 'MBP1', 'CLB6']",grn,rep,7.795672633505959
24,FKH1,CLN1,"['FKH1', 'MBP1', 'CLN1']",grn,act,6.900783726708223
25,FKH1,CLN1,"['FKH1', 'MBP1', 'CLN1']",grn,rep,
26,FKH1,FKH1,"['FKH1', 'FKH1']",grn,act,0.8241447682452022
27,FKH1,MBP1,"['FKH1', 'MBP1']",grn,rep,0.633517073803923
28,FKH1,PLM2,"['FKH1', 'MBP1', 'PLM2']",grn,act,13.161979583435361
29,FKH1,PLM2,"['FKH1', 'MBP1', 'PLM2']",grn,rep,
30,FKH1,TOS4,"['FKH1', 'YHP1', 'YOX1', 'TOS4']",grn,rep,41.91607953503113
31,FKH1,YHP1,"['FKH1', 'YHP1']",grn,rep,16.80586639188765
32,FKH1,YOX1,"['FKH1', 'YHP1', 'YOX1']",grn,act,26.760474751728985
33,FKH2,CLB1,"['FKH2', 'CLB1']",grn,rep,6.871868077128278e-09
34,FKH2,CLB1,"['FKH2', 'FKH2', 'CLB1']",grn,rep,4.76331531242422
35,FKH2,CLB4,"['FKH2', 'MBP1', 'CLB4']",grn,act,20.611530469411914
36,FKH2,CLB6,"['FKH2', 'CLB6']",grn,rep,14.958071366407635
37,FKH2,CLB6,"['FKH2', 'FKH2', 'CLB6']",grn,rep,19.721386671959987
38,FKH2,CLB6,"['FKH2', 'MBP1', 'CLB6']",grn,rep,19.888104263905554
39,FKH2,CLN1,"['FKH2', 'MBP1', 'CLN1']",grn,act,18.993215357107818
40,FKH2,CLN1,"['FKH2', 'MBP1', 'CLN1']",grn,rep,
41,FKH2,CLN3,"['FKH2', 'CLN3']",grn,rep,4.981702074336372
42,FKH2,CLN3,"['FKH2', 'FKH2', 'CLN3']",grn,rep,9.745017379888724
43,FKH2,FKH2,"['FKH2', 'FKH2']",grn,act,4.763315305552352
44,FKH2,MBP1,"['FKH2', 'MBP1']",grn,rep,12.725948704203518
45,FKH2,NDD1,"['FKH2', 'NDD1']",grn,rep,10.673076677706767
46,FKH2,PLM2,"['FKH2', 'MBP1', 'PLM2']",grn,act,25.254411213834956
47,FKH2,PLM2,"['FKH2', 'MBP1', 'PLM2']",grn,rep,
48,FKH2,TOS4,"['FKH2', 'TOS4']",grn,rep,15.161030067436517
49,HCM1,CDC20,"['HCM1', 'YHP1', 'CDC20']",grn,rep,18.323434525918522
50,HCM1,CDH1,"['HCM1', 'NRM1', 'CDH1']",grn,act,22.434998812508084
51,HCM1,CLB1,"['HCM1', 'FKH2', 'CLB1']",grn,rep,14.389806289054988
52,HCM1,CLB1,"['HCM1', 'HCM1', 'FKH2', 'CLB1']",grn,rep,16.80569532485033
53,HCM1,CLB1,"['HCM1', 'WHI5', 'CLB1']",grn,rep,20.28038881705772
54,HCM1,CLB1,"['HCM1', 'YHP1', 'CLB1']",grn,rep,27.926654914173355
55,HCM1,CLB2,"['HCM1', 'YHP1', 'YOX1', 'CLB2']",grn,act,23.670433583326822
56,HCM1,CLB3,"['HCM1', 'CLB3']",grn,act,12.007738226286481
57,HCM1,CLB3,"['HCM1', 'HCM1', 'CLB3']",grn,act,14.423627262081823
58,HCM1,CLB3,"['HCM1', 'NRM1', 'CLB3']",grn,rep,27.07580253597311
59,HCM1,CLB4,"['HCM1', 'CLB4']",grn,act,12.659506993956995
60,HCM1,CLB4,"['HCM1', 'HCM1', 'CLB4']",grn,act,15.075396029752337
61,HCM1,CLB4,"['HCM1', 'MBP1', 'CLB4']",grn,rep,22.82204172826415
62,HCM1,CLB5,"['HCM1', 'CLB5']",grn,rep,0.1849659978448492
63,HCM1,CLB5,"['HCM1', 'HCM1', 'CLB5']",grn,rep,2.6008550336401903
64,HCM1,CLB5,"['HCM1', 'SWI6', 'CLB5']",grn,act,27.834662239986606
65,HCM1,CLB6,"['HCM1', 'FKH2', 'CLB6']",grn,rep,29.347877648590753
66,HCM1,CLB6,"['HCM1', 'HCM1', 'FKH2', 'CLB6']",grn,rep,31.7637666843861
67,HCM1,CLB6,"['HCM1', 'MBP1', 'CLB6']",grn,act,22.09861552275779
68,HCM1,CLB6,"['HCM1', 'NRM1', 'CLB6']",grn,rep,24.199470832594894
69,HCM1,CLB6,"['HCM1', 'SWI6', 'CLB6']",grn,act,26.69781816246098
