,start,end,path,graph,sign,time
0,ACE2,ACE2,"['ACE2', 'ACE2']",grn,act,3.1031079297616397
1,ACE2,CDC20,"['ACE2', 'SWI5', 'CDC20']",grn,act,16.456993476699967
2,ACE2,CDH1,"['ACE2', 'NRM1', 'CDH1']",grn,rep,10.413633639100663
3,ACE2,CLB1,"['ACE2', 'SWI5', 'CLB1']",grn,act,15.426362129447147
4,ACE2,CLB3,"['ACE2', 'NRM1', 'CLB3']",grn,act,15.054437362565686
5,ACE2,CLB3,"['ACE2', 'NRM1', 'HCM1', 'CLB3']",grn,act,21.751734448708234
6,ACE2,CLB4,"['ACE2', 'NRM1', 'HCM1', 'CLB4']",grn,act,22.403503216378752
7,ACE2,CLB5,"['ACE2', 'NRM1', 'HCM1', 'CLB5']",grn,rep,9.928962220266603
8,ACE2,CLB5,"['ACE2', 'SWI5', 'CLB5']",grn,rep,16.929570373828604
9,ACE2,CLB6,"['ACE2', 'CLB6']",grn,rep,17.359612368263523
10,ACE2,CLB6,"['ACE2', 'NRM1', 'CLB6']",grn,act,12.178105659187471
11,ACE2,CLN2,"['ACE2', 'NRM1', 'HCM1', 'CLN2']",grn,rep,9.833656292655462
12,ACE2,FKH1,"['ACE2', 'NRM1', 'HCM1', 'FKH1']",grn,act,24.196829827230566
13,ACE2,FKH1,"['ACE2', 'SWI5', 'FKH1']",grn,rep,5.825762721414608
14,ACE2,FKH2,"['ACE2', 'NRM1', 'HCM1', 'FKH2']",grn,act,24.133802504604873
15,ACE2,HCM1,"['ACE2', 'NRM1', 'HCM1']",grn,act,9.743996222421755
16,ACE2,NDD1,"['ACE2', 'NDD1']",grn,rep,18.08703346887457
17,ACE2,NDD1,"['ACE2', 'NRM1', 'NDD1']",grn,act,3.823776016298346
18,ACE2,NRM1,"['ACE2', 'NRM1']",grn,rep,0.04130119308286168
19,ACE2,PLM2,"['ACE2', 'PLM2']",grn,rep,0.0018587687283225323
20,ACE2,SWI4,"['ACE2', 'SWI4']",grn,rep,15.084576810693514
21,ACE2,SWI5,"['ACE2', 'SWI5']",grn,rep,0.20880314274449774
22,FKH1,ACE2,"['FKH1', 'MBP1', 'ACE2']",grn,rep,29.654318746956797
23,FKH1,CDH1,"['FKH1', 'MBP1', 'CDH1']",grn,rep,25.50889870675267
24,FKH1,CLB2,"['FKH1', 'MBP1', 'YOX1', 'CLB2']",grn,act,30.650159689702438
25,FKH1,CLB3,"['FKH1', 'MBP1', 'HCM1', 'CLB3']",grn,act,42.62524971809184
26,FKH1,CLB3,"['FKH1', 'MBP1', 'HCM1', 'CLB3']",grn,rep,
27,FKH1,CLB4,"['FKH1', 'MBP1', 'CLB4']",grn,act,8.519098839012319
28,FKH1,CLB4,"['FKH1', 'MBP1', 'HCM1', 'CLB4']",grn,act,43.27701848576235
29,FKH1,CLB4,"['FKH1', 'MBP1', 'HCM1', 'CLB4']",grn,rep,
30,FKH1,CLB5,"['FKH1', 'MBP1', 'CLB5']",grn,rep,25.857262742648516
31,FKH1,CLB5,"['FKH1', 'MBP1', 'HCM1', 'CLB5']",grn,rep,30.8024774896502
32,FKH1,CLB5,"['FKH1', 'MBP1', 'SWI6', 'CLB5']",grn,act,40.91921557504682
33,FKH1,CLB5,"['FKH1', 'MBP1', 'HCM1', 'CLB5']",grn,act,
34,FKH1,CLB6,"['FKH1', 'MBP1', 'CLB6']",grn,rep,7.795672633505959
35,FKH1,CLB6,"['FKH1', 'MBP1', 'SWI6', 'CLB6']",grn,act,39.78237149752119
36,FKH1,CLN1,"['FKH1', 'MBP1', 'CLN1']",grn,act,6.900783726708223
37,FKH1,CLN1,"['FKH1', 'MBP1', 'SWI6', 'CLN1']",grn,act,40.77812754286716
38,FKH1,CLN1,"['FKH1', 'MBP1', 'CLN1']",grn,rep,
39,FKH1,CLN2,"['FKH1', 'MBP1', 'HCM1', 'CLN2']",grn,rep,30.707171562039058
40,FKH1,CLN2,"['FKH1', 'MBP1', 'SWI6', 'CLN2']",grn,act,38.99845236401425
41,FKH1,CLN2,"['FKH1', 'MBP1', 'HCM1', 'CLN2']",grn,act,
42,FKH1,FKH1,"['FKH1', 'FKH1']",grn,act,0.8241447682452022
43,FKH1,HCM1,"['FKH1', 'MBP1', 'HCM1']",grn,act,30.617511491805352
44,FKH1,HCM1,"['FKH1', 'MBP1', 'SWI6', 'HCM1']",grn,act,41.1105970815196
45,FKH1,HCM1,"['FKH1', 'MBP1', 'HCM1']",grn,rep,
46,FKH1,MBP1,"['FKH1', 'MBP1']",grn,rep,0.633517073803923
47,FKH1,NDD1,"['FKH1', 'MBP1', 'NDD1']",grn,act,28.607603078464535
48,FKH1,PLM2,"['FKH1', 'MBP1', 'PLM2']",grn,act,13.161979583435361
49,FKH1,PLM2,"['FKH1', 'MBP1', 'SWI6', 'PLM2']",grn,act,42.67171511548978
50,FKH1,PLM2,"['FKH1', 'MBP1', 'PLM2']",grn,rep,
51,FKH1,SWI6,"['FKH1', 'MBP1', 'SWI6']",grn,act,27.67088423846372
52,FKH1,TOS4,"['FKH1', 'MBP1', 'YOX1', 'TOS4']",grn,act,45.77758649780236
53,FKH1,YOX1,"['FKH1', 'MBP1', 'YOX1']",grn,rep,30.62198171450022
54,FKH2,ACE2,"['FKH2', 'MBP1', 'ACE2']",grn,rep,41.74675037735639
55,FKH2,CDH1,"['FKH2', 'MBP1', 'CDH1']",grn,rep,37.60133033715226
56,FKH2,CLB1,"['FKH2', 'CLB1']",grn,rep,6.871868077128278e-09
57,FKH2,CLB1,"['FKH2', 'FKH2', 'CLB1']",grn,rep,4.76331531242422
58,FKH2,CLB2,"['FKH2', 'MBP1', 'YOX1', 'CLB2']",grn,act,42.74259132010203
59,FKH2,CLB3,"['FKH2', 'MBP1', 'HCM1', 'CLB3']",grn,act,54.717681348491425
60,FKH2,CLB3,"['FKH2', 'MBP1', 'HCM1', 'CLB3']",grn,rep,
61,FKH2,CLB4,"['FKH2', 'MBP1', 'CLB4']",grn,act,20.611530469411914
62,FKH2,CLB4,"['FKH2', 'MBP1', 'HCM1', 'CLB4']",grn,act,55.36945011616194
63,FKH2,CLB4,"['FKH2', 'MBP1', 'HCM1', 'CLB4']",grn,rep,
64,FKH2,CLB5,"['FKH2', 'MBP1', 'CLB5']",grn,rep,37.94969437304811
65,FKH2,CLB5,"['FKH2', 'MBP1', 'HCM1', 'CLB5']",grn,rep,42.894909120049796
66,FKH2,CLB5,"['FKH2', 'MBP1', 'SWI6', 'CLB5']",grn,act,53.011647205446415
67,FKH2,CLB5,"['FKH2', 'MBP1', 'HCM1', 'CLB5']",grn,act,
