Genes,peak_time,Distance
HSP150,8.0,2.5102209427546134
YDR089W,46.0,2.5275078032206917
HHO1,40.0,2.6110657091022413
SPO12,71.0,2.6146790019306434
SIM1,39.0,2.68486063668794
WTM2,69.0,2.6994974779525323
CSM1,46.0,2.70027588508875
CWP2,50.0,2.7014039122751625
PDR5,54.0,2.739889917506925
BNI5,36.0,2.7538915216280473
GYP6,5.0,2.7566789833830834
SPC105,38.0,2.756940180918266
YNL030W,38.0,2.7573910113892057
NBP2,6.0,2.8054308346554064
YJL118W,39.0,2.8247007440822416
IAH1,8.0,2.8280524746214124
YCR085W,44.0,2.834399427200432
ECM33,45.0,2.8346011680429135
ADH3,25.0,2.835514883046692
DBF2,72.0,2.852489778304223
SUR7,56.0,2.8908483799523643
BEM1,3.0,2.911670702913238
NRM1,41.0,2.918519245732769
PHO8,17.0,2.9223772752058608
NDL1,73.0,2.9349231616350573
CIS3,46.0,2.9363557437749948
AIM34,45.0,2.936751829380583
PSA1,37.0,2.9388024712220235
HTZ1,46.0,2.9466488208232113
LPP1,21.0,2.954624833204507
HTA2,39.0,2.969649110137006
GAS5,52.0,2.993874341085241
HEK2,50.0,3.0071782671837246
BTT1,47.0,3.0220714158547994
PRY2,32.0,3.022283186272248
PDS1,36.0,3.027169695256277
MET32,47.0,3.029676950117034
TDA11,21.0,3.0462703610698467
SVS1,32.0,3.0590963986756092
CDC37,5.0,3.078622252180069
MSB2,37.0,3.086373679838306
YDL157C,31.0,3.0876156848020875
NUF2,55.0,3.0946643210187395
YLR455W,46.0,3.128278506521252
MTC1,12.0,3.140285142657231
YKR070W,19.0,3.142875246204564
NHP10,0.0,3.1441253272308995
JLP2,54.0,3.1467649523240295
YGR153W,27.0,3.1521812182292734
DAD3,47.0,3.15512885259701
MCM2,7.0,3.1583963320802235
TFC1,54.0,3.166197622037241
MSA1,8.0,3.16759221108114
LOT5,56.0,3.1802196006487606
MYO3,69.0,3.1851803106898435
SWI5,57.0,3.1976909665190636
YHR173C,39.0,3.1986665890237997
GPI11,43.0,3.2079850175412763
YKL069W,50.0,3.210722342537477
CIN8,40.0,3.223647010739667
HHT2,38.0,3.2246853623668326
SHO1,32.0,3.2315542993944386
OCA2,64.0,3.2331678471976844
TFB3,70.0,3.2367333729315546
PCP1,6.0,3.2429820574793773
YGL185C,16.0,3.243387057368672
YMR253C,1.0,3.2466503332236596
END3,4.0,3.254294861347419
SRL1,39.0,3.256101582217036
SRS2,42.0,3.2600438784167673
SPC34,41.0,3.260915807611646
YHC3,31.0,3.262293208985822
DAM1,44.0,3.263291341286248
ALG7,44.0,3.2680315450005324
YML083C,31.0,3.2692660650252017
MCM4,5.0,3.270584778892303
YHR214C-E,24.0,3.2746210950235546
FLR1,39.0,3.276344093129277
BIO2,25.0,3.2865382445580695
DNF1,47.0,3.290977539519429
CPT1,21.0,3.294190762593318
GTT3,46.0,3.299129121065492
NCE102,63.0,3.3020226094388407
SCW4,53.0,3.302978054107228
BNS1,66.0,3.303406265388467
DYN3,49.0,3.31444357342822
GDT1,40.0,3.3150266907059227
SRC1,58.0,3.315246197448958
INP2,45.0,3.316123564676348
SML1,57.0,3.3187222143574386
SMD2,71.0,3.3188162344446464
SGO1,44.0,3.3209411853836404
ERP5,25.0,3.3227303392551275
ENV9,44.0,3.3286381434286394
PSY3,30.0,3.3326613037137225
ECM9,50.0,3.3327804056621706
GAS1,39.0,3.3330376880254313
FIN1,50.0,3.33713366916214
PLB2,43.0,3.340060944813278
TUB2,43.0,3.343549177562703
AIM20,59.0,3.3439842059261182
CLB1,56.0,3.3450951939924884
FAR8,14.0,3.352731812608735
MCM22,55.0,3.359417074891234
LEA1,0.0,3.362986149985596
HCM1,30.0,3.3655628798541306
SWE1,30.0,3.370157496121308
SMA2,49.0,3.372800704889808
TEL2,42.0,3.377181110180124
NUR1,5.0,3.377670798465306
MCM5,7.0,3.3784402175784662
SIW14,72.0,3.383304362941107
SEC53,36.0,3.383825220143845
IDH1,31.0,3.385624024730654
BUD4,56.0,3.387693496742404
YLR342W-A,30.0,3.3878831849234357
BUG1,9.0,3.389271023280585
TEM1,58.0,3.3994933266802243
SPO77,32.0,3.406281919966419
TAL1,26.0,3.4095593478084636
RNH70,18.0,3.4105231622751204
VPS20,0.0,3.4112468898969603
YCR024C-B,59.0,3.413825333491204
NUM1,52.0,3.4187840927586883
FRD1,26.0,3.4221910748221944
PMA1,58.0,3.4254836144589524
CPR2,10.0,3.428067504412623
CSN9,44.0,3.431361549108277
SHE2,56.0,3.436199861304847
YOL114C,64.0,3.436591560625115
CPS1,12.0,3.436597559236905
RDS2,48.0,3.4433665313273902
GET3,22.0,3.4473137269216076
PHS1,29.0,3.448409272004382
SKN1,71.0,3.449192654208123
PMI40,35.0,3.4518591432941204
NAM8,44.0,3.4531867654640536
YGR042W,13.0,3.4557214455128
MOB1,60.0,3.4559164729470537
YLR050C,25.0,3.4559706737922165
PAN2,33.0,3.456549457008795
TFC6,43.0,3.461071929475509
YPR063C,24.0,3.462050918026402
LCD1,29.0,3.4624273768351372
STE50,71.0,3.4651111136556123
SBH1,38.0,3.4662772568546067
STU2,43.0,3.4665266077605725
KIP1,42.0,3.4669820049466447
SFG1,59.0,3.4692734698161245
YHP1,40.0,3.469568554138693
YIH1,33.0,3.469779923898262
OCH1,28.0,3.4699334551347585
LCB3,42.0,3.4699336839031996
MSB4,48.0,3.4709780347751735
GNA1,50.0,3.4709867999662865
CDC5,56.0,3.4710338410049113
MAD3,47.0,3.4711975983169525
ACE2,57.0,3.4742968767260876
YNL010W,52.0,3.4746819057210714
COQ5,9.0,3.4752639631510784
UBC9,44.0,3.477207758145502
LPX1,34.0,3.484045283781956
YOR131C,13.0,3.4847687898538253
RGA2,5.0,3.4878276060788806
FDC1,14.0,3.488293953115897
SHE1,39.0,3.4888623045086002
ENT1,9.0,3.488925471635689
BIM1,31.0,3.49056444050895
SKM1,54.0,3.49287397444173
ZIM17,21.0,3.499968360939395
RNH203,31.0,3.5008618383421837
ASF2,30.0,3.5013496260641004
CDC20,67.0,3.503150468243324
MPS2,31.0,3.5055188863889595
GFD1,73.0,3.5083803298458225
TPT1,36.0,3.5131339769823398
VAM3,2.0,3.5138656909114996
YPR148C,70.0,3.514397255695366
SED1,71.0,3.5152224118776183
KEL1,33.0,3.5158363270287167
RRN9,44.0,3.5183751635514975
TIP1,8.0,3.5184196296026737
PMT3,27.0,3.5257946270415093
COX11,51.0,3.532870267407822
YIF1,27.0,3.533613280232421
SYF2,67.0,3.5339797748089317
YBL082C,42.0,3.5368726313988663
FHL1,46.0,3.5376711756880947
RAD51,23.0,3.542649499479365
HTB2,40.0,3.5429728774643494
TBF1,45.0,3.5434966992160977
ERV25,30.0,3.553698523204084
ALG14,28.0,3.554256237030611
PMP1,61.0,3.5558072482949785
DSN1,46.0,3.5565614098853326
RCE1,50.0,3.5574479651590267
CAB4,16.0,3.558761028078086
NSE4,23.0,3.5604211152351786
YNL024C,49.0,3.561919490444581
DSS4,22.0,3.5622506753711964
MGS1,24.0,3.563023245176298
SUR2,35.0,3.5690601573412253
MPS1,49.0,3.570612361542856
YKR041W,54.0,3.574211164185184
VID22,44.0,3.5760200724945657
ASE1,58.0,3.5783169927495835
YDR444W,46.0,3.5791398804511783
URA5,55.0,3.579253096447348
YRB30,5.0,3.5793095253706335
SET3,56.0,3.579447509541072
CUE5,2.0,3.5825997135078285
YBR138C,59.0,3.5866033136511146
LOH1,44.0,3.587422471221712
VIK1,45.0,3.5885011020813304
SWI6,43.0,3.5886884673282426
PHO88,28.0,3.5903662089829425
NPP2,45.0,3.5928719314225064
NUD1,36.0,3.593421170643316
MXR1,49.0,3.593586026529623
SPA2,32.0,3.5938675169457426
PMT5,31.0,3.5946899445408165
YHR216W,66.0,3.5953073485556644
TFC8,34.0,3.596678835356595
ERD1,31.0,3.5992965518292745
CLB3,43.0,3.6002092703171438
SNF7,0.0,3.601919488837092
OSM1,66.0,3.602812021043104
EMP24,32.0,3.6038969832484304
OPY2,30.0,3.6067727796531286
KAR9,45.0,3.6081958180618123
RLF2,19.0,3.6095986701166383
RPN12,3.0,3.610712611845967
CCE1,52.0,3.6113574589890542
SNF5,46.0,3.611365500590188
CCW12,51.0,3.611489869841036
SPC97,39.0,3.612121159871703
BUD3,50.0,3.6127593442091634
SUR4,35.0,3.6165138208183896
NBA1,64.0,3.616938829658165
ORC1,48.0,3.6186963534391
CTF18,29.0,3.6187774550171983
DIC1,36.0,3.619034666371493
ADK2,28.0,3.619109786815203
AIM32,60.0,3.6220479175192346
VRG4,36.0,3.6225213099921723
NSE3,6.0,3.622796741463343
SPC110,37.0,3.626204606702934
CLB2,57.0,3.6263911034482574
WSC4,59.0,3.62772622169499
DUT1,35.0,3.6331527605880343
POL31,29.0,3.6366423774492564
SPN1,2.0,3.638528241350538
SPC98,39.0,3.6389302038537736
SAR1,29.0,3.6395606972410337
ROM1,68.0,3.64064118670382
RNH201,30.0,3.641569900716716
CTA1,26.0,3.642040582032946
PCH2,34.0,3.6431616583032658
AUS1,16.0,3.646050383687198
EXO1,24.0,3.647165969284615
TUP1,43.0,3.6472662176553676
YHR139C-A,51.0,3.6489772755498393
ADK1,41.0,3.6527575999586315
FRM2,43.0,3.6550336183435728
SPC24,43.0,3.656333260181362
SHH3,39.0,3.6567618235711024
RAD54,28.0,3.65847713640162
YFR039C,60.0,3.6598270871045533
NHP6A,50.0,3.660874635322596
STB5,46.0,3.6638033122221683
YNL333W,28.0,3.666593848093474
WSC2,35.0,3.6673332829282526
VMA16,62.0,3.667766543950263
FET3,59.0,3.6704456589584122
RER1,37.0,3.673458096035134
SPC29,29.0,3.673482631951995
snR68,54.0,3.673585060461318
OPT1,42.0,3.674166976046988
PAA1,0.0,3.676594366921928
KIP2,54.0,3.6795430130969446
IES6,57.0,3.680079300321044
HST3,57.0,3.680956237509145
MSS18,15.0,3.6814702486712165
MNN11,42.0,3.6829945102568185
AXL2,28.0,3.6851726688715543
AIM45,45.0,3.685266573157393
MFB1,45.0,3.6876268743248435
HSP60,26.0,3.6883847110912114
YMR144W,39.0,3.690665974660235
SLU7,3.0,3.69309759505325
YER152C,21.0,3.6937137584330078
YGL041W-A,3.0,3.694566145825972
GCN5,50.0,3.6945810039037066
CTF3,34.0,3.694728117163785
MDM1,45.0,3.6948364716098885
IRA1,4.0,3.695348493460049
TPO3,60.0,3.695547888414247
ALG5,43.0,3.695681971303615
QRI1,25.0,3.69639488008439
NNF1,41.0,3.697859444634948
YOR378W,35.0,3.6981179360608563
PRP5,1.0,3.699288103720939
CGI121,45.0,3.703842263924979
YCS4,39.0,3.7045668285470663
RRG7,52.0,3.7048423265119
ERV29,73.0,3.7058545527197033
CLN1,30.0,3.706071991691654
IES2,5.0,3.7082262846893665
YBL010C,23.0,3.7087899881458988
AVT2,28.0,3.7097755805466077
LAC1,36.0,3.7108473936645052
DLT1,45.0,3.713930272586034
YMR254C,73.0,3.7165065664248362
PMT4,34.0,3.7181644635479856
PSF1,27.0,3.7184549970986702
EPT1,22.0,3.7198956904958265
TDA2,2.0,3.7227659781729807
DCW1,25.0,3.723015199164368
YCR041W,0.0,3.7233296369722204
OLE1,2.0,3.725011100555156
MEC3,43.0,3.7255228690817503
CAC2,27.0,3.726370502659142
RPN7,5.0,3.7267593832453128
YLR257W,73.0,3.7271470243652502
BUB1,35.0,3.7277763146294776
CKB2,27.0,3.728136173499543
TAH1,35.0,3.728853240011897
YLR236C,31.0,3.730651124584868
EUG1,21.0,3.7307758289128916
VPS45,5.0,3.7339397416012248
SWD1,24.0,3.734691306778499
MRPL1,8.0,3.7357699757391147
RSF2,41.0,3.7377826163694734
SGS1,46.0,3.7383784453846145
YPT31,63.0,3.739902724490755
REV1,58.0,3.7402765343957314
ARP7,46.0,3.7409153831710222
STB1,24.0,3.7432298623591036
MTC6,70.0,3.7437118912127794
ARP1,35.0,3.744295233330415
PHO5,70.0,3.7453091269718892
CSM2,33.0,3.7453123404154907
ALG2,36.0,3.745734382628107
MCM7,3.0,3.7458754331704798
TFC4,48.0,3.7460696279154875
BUD2,31.0,3.7462249921463604
SIF2,46.0,3.7462991135028614
YDL119C,6.0,3.746468952832412
YJL181W,24.0,3.750131677829953
YNL295W,3.0,3.750340890173797
HSL1,29.0,3.750572056997486
YPT11,24.0,3.7537327392434254
SPC42,29.0,3.757290128190503
TUB4,27.0,3.757950740280091
SNF12,44.0,3.759473795615336
CDC3,51.0,3.7607117163126733
ASF1,21.0,3.761437414306883
TOM71,33.0,3.761990785944129
TLG1,65.0,3.762891376951691
STN1,43.0,3.763581147907064
DID2,4.0,3.7644375343133576
DJP1,3.0,3.767640037753811
PEX11,23.0,3.7679518409048325
MCM3,10.0,3.7679936393604008
ECM25,35.0,3.768017022689407
CHS2,61.0,3.7698743952423373
OKP1,48.0,3.769991878582584
FPR3,7.0,3.7700673984688864
BUB2,45.0,3.771944577465137
NAS6,7.0,3.772292698240279
FEN1,41.0,3.77234416149723
REB1,48.0,3.7727251062699243
SWI1,39.0,3.7735252353312703
RPT4,7.0,3.7746925955874753
MEF2,55.0,3.7754215236398756
DOT1,27.0,3.7757299143579663
YEL077C,17.0,3.7763418118394143
MDG1,5.0,3.777698673282291
CST26,29.0,3.7817725881089976
ASK1,49.0,3.7865850101599468
YCR023C,35.0,3.787843636962681
CSE4,43.0,3.7885395663660724
EMP70,46.0,3.7886817221830955
