,Genes,peak_time,Distance
222,SWI4,19.0,3.97501023685597
283,STB1,24.0,3.743229862359104
352,CLN2,28.0,4.036467055954269
394,CLN1,30.0,3.706071991691654
396,HCM1,30.0,3.3655628798541306
540,YHP1,40.0,3.469568554138693
545,NRM1,41.0,2.918519245732769
557,NDD1,42.0,4.213730239932615
570,WHI5,42.0,3.901157127063267
593,SWI6,43.0,3.588688467328242
598,CLB3,43.0,3.600209270317144
633,CLB4,45.0,3.872641251355708
678,FKH1,47.0,3.854705961437526
692,MBP1,47.0,4.0249676150242335
719,FKH2,49.0,3.804791942796461
823,CLB1,56.0,3.3450951939924884
824,ACE2,57.0,3.4742968767260876
825,CLB2,57.0,3.6263911034482574
834,SWI5,57.0,3.1976909665190636
918,CDC20,67.0,3.503150468243324
