reg,target,type
WHI5,SWI4,rep
WHI5,SWI6,rep
WHI5,MBP1,rep
STB1,SWI4,rep
STB1,SWI6,rep
STB1,MBP1,rep
SWI4,HCM1,act
SWI4,PLM2,act
SWI4,TOS4,act
SWI6,HCM1,act
SWI6,PLM2,act
SWI6,TOS4,act
MBP1,HCM1,act
MBP1,PLM2,act
MBP1,TOS4,act
SWI4,CLN1,act
SWI4,CLN2,act
SWI6,CLN1,act
SWI6,CLN2,act
MBP1,CLN1,act
MBP1,CLN2,act
SWI4,CLB5,act
SWI4,CLB6,act
SWI6,CLB5,act
SWI6,CLB6,act
MBP1,CLB5,act
MBP1,CLB6,act
SWI4,YOX1,act
SWI4,YHP1,act
SWI4,NRM1,act
SWI6,YOX1,act
SWI6,YHP1,act
SWI6,NRM1,act
MBP1,YOX1,act
MBP1,YHP1,act
MBP1,NRM1,act
HCM1,NDD1,act
HCM1,FKH1,act
HCM1,FKH2,act
HCM1,MCM1,act
PLM2,NDD1,act
PLM2,FKH1,act
PLM2,FKH2,act
PLM2,MCM1,act
TOS4,NDD1,act
TOS4,FKH1,act
TOS4,FKH2,act
TOS4,MCM1,act
NDD1,SWI5,act
NDD1,ACE2,act
FKH1,SWI5,act
FKH1,ACE2,act
FKH2,SWI5,act
FKH2,ACE2,act
MCM1,SWI5,act
MCM1,ACE2,act
NDD1,CLB2,act
FKH1,CLB2,act
FKH2,CLB2,act
MCM1,CLB2,act
NDD1,CDC20,act
FKH1,CDC20,act
FKH2,CDC20,act
MCM1,CDC20,act
CDC20,SWI5,act
CDC20,ACE2,act
SWI5,CLN3,act
ACE2,CLN3,act
CDH1,SWI5,act
CDH1,ACE2,act
CLN3,WHI5,rep
CLN3,STB1,rep
CLN1,WHI5,rep
CLN1,STB1,rep
CLN2,WHI5,rep
CLN2,STB1,rep
