,TF,Gene,R_squared_lm,R_squared_dogbox_init,R_squared_dogbox
0,ACE2,CLB1,0.941961753,,0.941881744
1,ACE2,CLB2,0.887630081,-2.22E-16,0.514487656
2,ACE2,CLB3,0.989177088,0,0.989177088
3,ACE2,CLB6,0.971806013,0,0.971806013
4,ACE2,CLN1,0.657885998,0.402809287,0.644498017
5,ACE2,CLN2,0.746151807,0.113929511,0.746151837
6,ACE2,CLN3,0.386781058,0.386781061,0.344992238
7,ACE2,FKH1,0.762859331,,
8,ACE2,HCM1,0.967174087,0,0.967174087
9,ACE2,NDD1,0.873345872,0.873123274,0.872960153
10,ACE2,NRM1,0.995302374,-2.22E-16,0.076864922
11,ACE2,PLM2,0.9973075,0,0.117208335
12,ACE2,STB1,0.628933571,0,0.628933571
13,ACE2,SWI4,0.798285265,-2.22E-16,0.486432317
14,ACE2,SWI5,0.926236334,0,0.034717232
15,ACE2,TOS4,0.999000396,1.11E-16,0.999000396
16,ACE2,WHI5,,2.22E-16,0.414247235
17,ACE2,YHP1,0.997831365,0.997831365,0.997831365
18,ACE2,YOX1,0.912739259,0,0.912739259
19,FKH1,ACE2,0.882796223,0,0.882796223
20,FKH1,CDC20,0.715365753,0.684835705,0.541387099
21,FKH1,CLB1,0.455052869,3.10E-05,0.455052869
22,FKH1,CLB2,0.826376307,0.465797021,0.455247587
23,FKH1,CLB3,0.931260685,0.931260686,0.931260686
24,FKH1,CLB4,0.998923365,-2.22E-16,0.121516298
25,FKH1,CLB5,0.857470923,0.85747093,0.85747093
26,FKH1,CLB6,0.903176313,0,1.11E-16
27,FKH1,CLN1,0.607770821,0,0.577449548
28,FKH1,CLN2,0.324430742,0,0.276896823
29,FKH1,CLN3,0.020758055,0.006123668,0.228834882
30,FKH1,FKH2,0.999399712,-2.22E-16,0.119862366
31,FKH1,MBP1,0.978741713,0,1.11E-16
32,FKH1,NDD1,0.959893842,0,0
33,FKH1,NRM1,0.990516622,-2.22E-16,0.990516622
34,FKH1,PLM2,0.987936122,0.987936122,0.987936122
35,FKH1,STB1,0.923869687,0.206070427,0.923869687
36,FKH1,SWI4,0.882460726,0.882460726,0.882460726
37,FKH1,SWI5,0.991287988,,0.982534038
38,FKH1,SWI6,0.99907401,,0.996872682
39,FKH1,WHI5,0.9273805,,
40,FKH1,YHP1,0.996159803,0.996159803,0.996159803
41,FKH1,YOX1,0.163423324,0.072637608,0.067754945
42,FKH2,ACE2,,0,0.160135521
43,FKH2,CDC20,0.952119203,2.22E-16,0.952119204
44,FKH2,CDH1,0.860003627,0.86000723,0.86000723
45,FKH2,CLB1,0.982961863,0,0.982961864
46,FKH2,CLB2,0.321325507,0,0.321302596
47,FKH2,CLB3,0.576351771,3.33E-16,0.576351771
48,FKH2,CLB4,0.999792362,0,0.129300632
49,FKH2,CLB6,0.980006921,0.980006921,0.087960031
50,FKH2,CLN1,0.513222553,1.11E-16,0.513222558
51,FKH2,CLN2,0.991726368,0,0.991726368
